انداخته	dropped
جامی	cups
جامی	cup
نیکون	nikon
اکبرآباد	akbarabad
بازتابی	flashbacks
فراهانی	farahani
آری	yea
آری	aye
تزئینات	decorations
شوهرش	husband
کالین	colin
برونو	bruno
مارپیچی	spiral
باخ	bach
قذافی	gaddafi
بازگشایی	reopening
مونتاژ	montage
گمنام	anonymous
ناراحتی	sad
محبت	kindness
محبت	affection
همخوانی	consistency
باک	buck
باک	bak
باک	bock
کارا	kara
کارا	cara
جنبشی	kinetic
وبا	cholera
جهانگردان	explorers
آستوریاس	asturias
تزئین	decoration
تزئین	decorate
پیشوند	prefix
بیهوشی	anesthetic
بیهوشی	blackout
نشستن	sitting
شایان	shayan
شایان	cheyenne
نیایش	invocation
نیایش	adoration
نیایش	glorification
نیایش	prayers
انصراف	quit
بیشه	thicket
بیشه	bisheh
کلامی	verbal
کلامی	linguistic
تناقض	contradictions
تناقض	paradox
تناقض	inconsistency
تناقض	contradiction
قضائیه	judiciary
تعطیلی	shutdown
لیندا	linda
لیندا	lynda
قسم	swear
قسم	oath
کمبوجیه	cambyses
پشتکوه	poshtkuh
آرم	arm
دلاور	delaware
اتصالات	connections
اتصالات	etisalat
فراخوانی	callback
فراخوانی	summons
فراخوانی	calling
اسیدی	acidic
اسیدی	acid
اسیدی	acidity
بیکاری	unemployment
فلفل	pepper
هاپکینز	hopkins
شیطانی	demonic
مگس	flies
کا	ka
کالاها	commodities
کالاها	goods
لیبریا	liberia
لیبریا	liberian
محو	blur
لای	lai
لای	lay
پنجشنبه	thu
پنجشنبه	thursday
بقای	survival
نامیبیا	namibia
سورینام	suriname
طرفه	sided
طیفی	spectral
کمدین	comedian
جن	jen
جن	djinn
جن	jenn
عذرخواهی	apologies
عذرخواهی	excuses
عذرخواهی	apology
بازگو	recount
میکس	mix
یوهانس	johannes
بذر	seed
بذر	seeds
عملگر	operator
تکن	tekken
فرصتی	opportunity
اخطار	notification
اخطار	warning
بخارست	bucharest
حباب	bubbles
حباب	bubble
پالس	pulse
گرانت	grunt
گرانت	grant
تقریب	approximation
هیلاری	hillary
هیلاری	hilary
نژادهای	breeds
بهاری	spring
مزدا	mazda
نقدهای	reviews
تفریح	recreation
گان	gunn
نرگس	narges
نرگس	narcissus
نرگس	nargis
سبزی	sabzi
سبزی	nutritious
کپنهاگ	copenhagen
کارولین	caroline
صدمه	damage
صدمه	hurt
شارژ	charge
شارژ	charged
خنده	laughter
خنده	laugh
ملایم	gentle
ملایم	mild
ملایم	soft
ارسنجان	arsanjan
اشکالات	drawbacks
ییلاق	countryside
ییلاق	country
مایا	maya
داند	knows
اشتوتگارت	stuttgart
جوار	admits
چنگیز	genghis
کلاله	kalaleh
لانه	nest
لانه	den
منسوخ	archaic
منسوخ	outdated
منسوخ	obsolete
سانسکریت	sanskrit
محکومیت	convictions
محکومیت	conviction
امتیازات	privileges
امتیازات	scores
~~~~	~~~~
استعمال	usage
محفوظ	protected
محفوظ	preserved
شبح	phantom
شبح	ghost
دورانی	coating
انگل	engel
انگل	parasites
انگل	parasite
فروشنده	vendor
کمیل	camille
کمیل	kamil
تانسور	tensor
منظره	landscape
تلفیقی	scarves
واتیکان	vatican
گریس	grace
اتلتیک	athletic
موضوعاتی	topics
ایسنا	isna
بهرامی	bahrami
آیدین	aydın
سالمندان	nursing
سالمندان	elderly
ماموران	officers
روحیه	morale
عشقی	love
موجودیت	entity
مارکسیست	marxist
تدبیر	regulates
تدبیر	regulate
تدبیر	plan
دریاها	seas
سفال	pottery
رودریگز	rodriguez
رودریگز	rodrigues
رودریگز	rodríguez
ریس	reese
ریس	rhys
ریس	reiss
بشریت	humanity
کوهن	cohn
کوهن	cohen
کوهن	kohn
فیجی	fiji
حاتمی	hatami
سمرقند	samarkand
ارضی	territorial
هانتر	hunter
مارینو	marino
پناهنده	refugee
پناهنده	refugees
رزرو	booked
رزرو	reserved
رزرو	reservations
رزرو	reservation
رزرو	reserve
یخبندان	glacial
یخبندان	ice
متقارن	symmetric
متقارن	symmetrical
رابینسون	robinson
کویینز	queens
بخواند	calls
ملودی	melody
اسبق	predecessor
فخرالدین	fakhruddin
زیربخش	subdivision
ریاض	riyadh
مکزیکو	mexicali
مکزیکو	méxico
وحی	revelation
بیدگل	bidgol
دلو	bucket
دلو	aquarius
دلو	aquarii
استانهای	governorates
مهرآباد	mehrabad
ضخیم	thick
کربنات	carbonate
انقباض	contractions
انقباض	contraction
شفت	shaft
سوفیا	sofia
بوانات	bavanat
امیدوار	hopeful
بتی	betty
دستورالعمل	instruction
دستورالعمل	recipe
دستورالعمل	instructions
خلیلی	khalili
بیعت	allegiance
منتسب	alleged
انگشتان	fingers
محتوی	container
نامزدها	nominees
نامزدها	nominations
معصوم	innocent
کارتون	carton
کارتون	cartoon
کارتون	cartoons
احتیاط	prudent
احتیاط	caution
آموخته	taught
دربی	derby
گرامر	grammar
سپیده	dawn
نیکو	niko
نیکو	nico
بخت	fortunes
بخت	fortune
هاله	halle
هاله	aura
هاله	halo
بهنام	behnam
بهنام	eater
توری	lattice
توری	grid
بنویسد	write
همسران	spouses
همسران	wives
قراردادهای	contracts
قراردادهای	protocols
\,	\,
هوندا	honda
دیداری	visual
آتی	futures
بهای	price
آیفون	iphone
گیلاس	cherry
ارکان	pillar
ارکان	erkan
گزاره	proposition
شایستگی	qualified
شایستگی	merit
مشتقات	derivatives
مشتقات	variants
اسکای	skye
اسکای	sky
سنگر	bunker
تصدی	commission
تصدی	tenure
همجوار	contiguous
بروجن	borujen
موجی	wave
موجی	waves
کارآمد	efficient
انعطاف	flexible
ادارات	offices
ردیابی	tracing
ردیابی	tracking
ردیابی	tracker
ردیابی	trace
ماهانه	monthly
قدیس	saint
تهی	void
تهی	empty
رفیع	high
رفیع	rafi
نگاشت	map
اندیشهٔ	evidencing
جمجمه	skulls
جمجمه	skull
عطار	attar
عطار	grocer
سوزن	needles
سوزن	needle
بنادر	ports
جوزپه	giuseppe
اعتدال	moderation
اعتدال	equinox
پذیرایی	accommodation
پذیرایی	reception
پذیرایی	entertainment
عروسک	dolls
عروسک	doll
چیزها	things
تزیین	decorating
عجم	ajam
سلیقه	tasteful
یقین	certain
یقین	certainty
یقین	uncertain
قاطع	decisive
اریتره	eritrea
دهقان	peasant
هریسون	harrison
بولونیا	bologna
گریت	griet
حک	engraving
حک	engrave
انشعاب	fork
انشعاب	branch
وایمار	weimar
گردنه	steep
مارسل	marcel
کسر	deduction
کسر	fractions
کسر	deficit
کسر	fraction
عبادت	worship
متراکم	dense
جنایات	crimes
آئودی	audi
ترمینال	terminal
شبستر	shabestar
نامحدود	infinite
نامحدود	unlimited
سرنگون	topple
سرنگون	overthrow
آپاچی	apache
مشروط	contingent
عرضی	landscape
عرضی	transverse
ذرت	corn
بدانید	know
وبر	weber
سرودن	compose
تعاونی	cooperative
تکنیکی	technical
زی	zee
نفی	deportation
گسیل	emission
داوطلبانه	voluntarily
داوطلبانه	voluntary
نصیری	nasiri
خائن	traitor
شعارهای	mottos
رویس	royce
گریگوری	gregory
کنراد	conrad
چکاوک	lark
بالتیک	baltic
آیوی	ivy
راجرز	rogers
میرسد	arriving
میرسد	reaches
ادوین	edwin
رنگهای	colors
اطفال	children
اطفال	childrens
هسن	hesse
یونس	younes
یونس	yunus
یونس	jonah
یونس	younis
همسایگی	neighborhood
همسایگی	neighbourhood
فرضی	hypothetical
راو	raw
متناظر	corresponding
آهسته	whispering
آهسته	slow
آهسته	slowly
زاگرب	zagreb
نوی	neu
نیکول	nicole
گوگ	gogh
فری	ferry
فری	frey
فری	fray
تقطیر	distillation
سرنگونی	overthrowing
آلتو	alto
نیکلای	nikolai
نیکلای	nikolay
رؤیا	roya
رؤیا	dream
اهدای	donor
پرل	pearl
پرل	perl
رفیق	dude
رفیق	buddy
لیو	liv
بدانند	know
عظمت	grandeur
عظمت	greatness
مناظره	debate
مناظره	debating
مناظره	debates
میکرو	micro
ادراک	perception
بادهای	winds
تاب	swinging
تاب	swing
ناتینگهام	nottingham
بیاورید	bring
پنهانی	secretly
صمیمی	cordial
صمیمی	intimate
زینب	zainab
زینب	zeynep
قربان	sir
قربان	sir,
سوءاستفاده	misuse
سوءاستفاده	abuse
جنوا	genoa
گنگ	dumb
گنگ	gang
مچ	wrist
یخی	frost
یخی	ice
قحطی	famine
قحطی	starvation
ماسک	mask
ماسک	masks
میگیرد	takes
میگیرد	receives
مکانیزم	mechanism
شهدا	martyrs
قرض	loan
قرض	debt
قرض	borrow
استوا	equator
بجستان	bajestan
دشواری	difficulty
دشواری	hardship
مهمات	ammunition
آند	andean
رحمان	rahman
وصیت	testament
محفظه	capsule
دول	dul
دول	dole
دول	dol
مشاوران	consultants
مشاوران	advisors
احتراق	combustion
احتراق	ignition
تختی	hers
درواقع	actually
کلک	deceit
کلک	trick
گرده	pollen
متخصصین	experts
متخصصین	tech
متخصصین	specialists
تریپل	triple
فسیلی	fossil
مهاجرین	migrants
مهاجرین	immigrants
مهاجرین	refugees
پروسه	process
گوهر	essence
تراشه	chip
تحقیر	humiliated
تحقیر	humiliating
تحقیر	humiliation
تحقیر	contempt
عنکبوتی	spider
عنکبوتی	spidey
پوینت	point
جراح	surgeon
جراح	jarrah
نورنبرگ	nürnberg
نورنبرگ	nuremberg
اتمسفر	atmosphere
اتمسفر	atmospheric
قفس	cage
شهوانی	erotic
جاسوس	spy
ندا	neda
دوجانبه	bilateral
پروتون	proton
لورا	laura
آشکارا	openly
آشکارا	clearly
آشکارا	publicly
ساسکاچوان	saskatchewan
لکه	smudge
لکه	stains
لکه	stain
لکه	blob
لکه	blur
سوارکاری	riding
سوارکاری	equestrian
متریک	metric
جاش	josh
بحر	sea
راینلاند	rhineland
انسانها	humans
اردلان	ardalan
حسابرسی	audit
حسابرسی	accounting
قناری	canaries
قناری	canary
گلوکز	glucose
یگان	unit
قرارگاه	settlement
قرارگاه	lodging
پشتوانه	bankroll
پشتوانه	endowment
بوریس	boris
گروگان	hostage
تدارک	preparation
جووانی	giovanni
دینار	dinar
انور	enver
انور	anwar
زاهدی	zahedi
ویک	vic
استارک	stark
اتلاف	waste
بای	bay
رس	rass
مونترال	montreal
زناشویی	marital
کعبه	kaaba
ابدی	eternal
ابدی	immortal
پتر	peter
پتر	petr
سیلیکات	silicate
نورآباد	nurabad
مهری	seal
مواجهه	confrontation
نزول	descent
عسکری	askari
محسنی	mohseni
پروتستان	protestant
سرعتی	speedy
تجلیل	celebration
زحمات	deed
سپر	shield
سپر	bumper
فرات	euphrates
ایزدی	providence
اسکیت	skating
اسکیت	skate
اسکیت	skateboarding
آراسته	attractive
آراسته	decorated
آراسته	embellished
بورلی	beverly
چهارراه	intersection
فراطبیعی	paranormal
سلاطین	kings
سایمون	simon
والاس	wallace
دیکتاتوری	dictatorial
دیکتاتوری	dictatorship
سویی	sui
اندلس	andalusia
بدخشان	badakhshan
لوسی	lucy
خشکسالی	famine
خشکسالی	drought
اولاد	offspring
سمفونیک	symphonic
الموت	alamut
ریکاردو	riccardo
ریکاردو	ricardo
برانگیخت	recites
کلوپ	club
کلوپ	klopp
پوشیدن	wearing
پوشیدن	wear
کلاب	club
تایی	tae
لایپزیگ	leipzig
نفرت	hatred
نفرت	hate
برخاست	arose
برخاست	takeoff
هالی	holly
چهاردهمین	fourteenth
ادواردز	edwards
نواری	streaked
نواری	ribbon
تالیفات	compilations
مونته	monte
آناهیتا	anahita
هافمن	hoffmann
هافمن	hoffman
غزنوی	ghaznavi
غزنوی	ghazni
آشتی	truce
تروریست	terrorist
تروریست	terrorists
انصار	ansar
