традиционен	traditional
иларион	ilarion
чудо	marvel
чудо	miraculous
чудо	miracle
чудо	wonder
кобург	coburg
багдад	baghdad
променено	changed
променено	altered
променено	modified
чума	pestilence
чума	plague
борд	board
консумация	consumption
дракон	dragon
посочен	specified
лук	onions
лук	onion
младежта	youth
крилете	wings
арканзас	arkansas
електричество	electricity
електричество	electric
институти	institutes
привилегии	privilege
привилегии	privileges
седмицата	week
хюсеин	hussein
хюсеин	hussain
хюсеин	hüseyin
батман	batman
чужденци	foreigners
кафяв	brown
предполагат	suggest
вселенски	ecumenical
фотографии	photographs
включено	enabled
включено	included
пръстените	rings
първанов	parvanov
напредък	progress
напредък	advancement
мене	me
вековете	centuries
рейчъл	rachel
ниши	nishi
роуз	rose
увреждания	disabled
увреждания	disability
съществена	essential
колинс	collins
дарвин	darwin
информатика	informatics
братислава	bratislava
снаряди	projectiles
снаряди	shells
нели	nelly
нели	nellie
недоволство	discontent
недоволство	dissatisfaction
септимий	septimius
отмъщение	vengeance
отмъщение	revenge
повреди	damage
милена	milena
президентски	presidential
любима	beloved
екипировка	equipment
депутатите	lawmakers
депутатите	mps
стабилност	stability
бедни	poor
бюрото	bureau
словашки	slovak
янкович	jankovic
царуването	reign
тръба	pipe
тръба	tube
никъде	nowhere
месото	meat
такси	taxi
такси	cab
такси	fees
албумите	albums
лош	bad
томов	tomov
докторат	doctorate
разработване	development
разработване	developing
документа	document
запазено	reserved
запазено	preserved
статуи	statues
математическа	mathematical
айнщайн	einstein
коридор	hallway
коридор	corridor
лора	laura
лора	lora
слухове	rumors
слухове	rumours
плячка	prey
плячка	swag
плячка	booty
параклиса	chapel
пера	feathers
къс	cus
противниците	opponents
достатъчна	sufficient
кореспонденти	correspondents
младен	mladen
лоша	bad
достъпен	accessible
закрито	indoors
закрито	indoor
зигмунд	sigmund
евдокия	eudokia
петрол	petrol
петрол	oil
петрол	petroleum
лихтенщайн	liechtenstein
лихтенщайн	lichtenstein
беатрис	beatrice
беатрис	beatriz
суматра	sumatra
лентул	lentulus
оператори	operators
слива	plum
форуми	fora
форуми	forums
кадафи	gaddafi
зареждане	load
зареждане	charge
зареждане	loading
зареждане	charging
харисън	harrison
елзас	alsace
добавка	addition
добавка	addendum
добавка	supplement
добавка	additive
рап	rap
интервал	interval
лингвистика	linguistics
обсъжда	discusses
моделите	models
панорама	panorama
хрушчов	khrushchev
сервилий	servilius
деян	dejan
лидия	lidia
лидия	lydia
антонин	antonin
възможен	possible
пелопонес	peloponnese
преториански	praetorian
раул	raoul
раул	raul
миграция	migration
митове	myths
мюзикъл	musical
работилница	workshop
галактика	galaxy
кавалерия	cavalry
клиент	customer
клиент	client
завой	turn
завой	bend
речи	speeches
емили	emilie
емили	emily
светкавица	lightening
светкавица	flash
светкавица	lightning
мазнини	fats
мазнини	fat
самоубийство	suicide
завършила	graduated
достигане	reach
достигане	reaching
крайни	extreme
смесена	mixed
таун	towne
проектиран	designed
соломон	solomon
теодорих	theuderic
екрана	screen
джеси	jessie
джеси	jesse
велбъжд	velbazhd
гласни	vowels
съчетава	combines
преобразува	converts
глазгоу	glasgow
растат	grow
съкровище	sweetheart
съкровище	treasure
астероид	asteroid
кейн	cain
кейн	kane
кейн	cane
кейн	caine
унищожена	destroyed
положително	positive
положително	positively
заплата	salary
моравия	moravia
страбон	strabo
антропология	anthropology
американци	americans
ренесанса	renaissance
подиум	catwalk
богатството	wealth
кръгли	round
лена	lena
етажа	floors
фасада	facade
ограничаване	restriction
ограничаване	limitation
ограничаване	limiting
ограничаване	limit
ограничаване	containment
конник	horseman
конник	rider
доза	dosage
доза	dose
хендрикс	hendricks
хендрикс	hendrix
измервания	measurements
измервания	measurement
емблема	emblem
пиеро	pierrot
пиеро	piero
петра	petra
желев	zhelev
мускул	muscle
тбилиси	tbilisi
разкрити	uncovered
разкрити	revealed
разкрити	disclosed
колонията	colony
сиви	gray
сиви	grey
полезна	useful
полезна	helpful
показани	displayed
показани	screened
крайници	limbs
крайници	extremities
размножаване	propagation
размножаване	breeding
размножаване	reproduction
статуята	statue
териториално	territorial
верни	loyal
верни	true
верни	faithful
алпите	alps
демо	demo
измества	displace
архиви	records
архиви	archives
архиви	archive
документите	documents
вечеря	dinner
вечеря	supper
померания	pomerania
накратко	briefly
унищожаването	destroying
анализи	analyses
анализи	analysis
анализи	insights
кожани	kozani
съдържаща	containing
бедствия	disasters
бедствия	disaster
фитипалди	fittipaldi
производни	derivatives
влажни	moist
влажни	damp
подводница	submarine
подводница	sub
перо	feather
перо	pero
свободните	fremen
лекува	heals
арктика	arctic
въведение	introduction
въведение	intro
известия	notifications
бара	bara
важност	importance
торпедо	torpedo
удря	hits
